.47], 20/1/100 21:39:44
Accel: [0.04, -0.02, 1.02], Gyro: [0.28, -0.42, -0.28], Temp: [23.48, 74.26], 0/0/80 1:14:27
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.21, -0.14], Temp: [23.46, 74.22], 0/0/80 1:14:28
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, 0.00, -0.28], Temp: [23.49, 74.29], 0/0/80 1:14:30
Accel: [0.04, -0.01, 1.02], Gyro: [0.21, -0.56, -0.21], Temp: [23.48, 74.26], 0/0/80 1:14:31
Accel: [0.04, -0.02, 1.02], Gyro: [0.49, -0.07, -0.14], Temp: [23.29, 73.93], 0/0/80 1:15:31
Accel: [0.04, -0.01, 1.02], Gyro: [0.77, 0.35, -0.14], Temp: [23.33, 74.00], 0/0/80 1:15:33
Accel: [0.03, -0.02, 1.02], Gyro: [1.61, 0.84, -0.91], Temp: [23.31, 73.96], 0/0/80 1:15:34
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.35, -0.21], Temp: [23.30, 73.93], 0/0/80 1:15:35
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.56, -0.21], Temp: [23.35, 74.03], 0/0/80 1:15:37
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.28, -0.07], Temp: [23.32, 73.98], 0/0/80 1:15:38
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.14, -0.14], Temp: [23.35, 74.03], 0/0/80 1:15:39
Accel: [0.04, -0.02, 1.02], Gyro: [0.28, -0.07, -0.14], Temp: [23.34, 74.00], 0/0/80 1:15:41
Accel: [0.04, -0.02, 1.02], Gyro: [0.21, -0.35, -0.07], Temp: [23.28, 73.91], 0/0/80 1:15:42
Accel: [0.04, -0.01, 1.02], Gyro: [0.42, -0.07, -0.35], Temp: [23.32, 73.91], 0/0/80 1:15:44
Accel: [0.04, -0.02, 1.02], Gyro: [0.21, -0.77, -0.28], Temp: [23.28, 73.90], 0/0/80 1:15:45
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, 0.07, -0.07], Temp: [23.32, 73.97], 0/0/80 1:15:46
Accel: [0.04, -0.02, 1.02], Gyro: [0.56, -0.49, -0.21], Temp: [23.29, 73.93], 0/0/80 1:15:48
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.35, -0.21], Temp: [23.28, 73.91], 0/0/80 1:15:49
Accel: [0.04, -0.02, 1.02], Gyro: [0.49, -0.56, -0.28], Temp: [23.28, 73.90], 0/0/80 1:15:51
Accel: [0.04, -0.02, 1.02], Gyro: [0.49, 0.14, -0.07], Temp: [23.29, 73.93], 0/0/80 1:15:52
Accel: [0.04, -0.02, 1.02], Gyro: [0.28, -0.14, -0.21], Temp: [23.29, 73.91], 0/0/80 1:15:53
Accel: [0.04, -0.02, 1.02], Gyro: [0.56, -0.14, -0.14], Temp: [23.32, 73.97], 0/0/80 1:15:55
Accel: [0.04, -0.02, 1.02], Gyro: [0.42, -0.35, -0.14], Temp: [23.28, 73.91], 0/0/80 1:15:56
Accel: [0.04, -0.02, 1.02], Gyro: [0.28, -0.21, -0.14], Temp: [23.32, 73.98], 0/0/80 1:15:58
Accel: [0.04, -0.02, 1.02], Gyro: [0.28, -0.28, -0.14], Temp: [23.31, 73.96], 0/0/80 1:15:59
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, 0.00, -0.07], Temp: [23.32, 73.97], 0/0/80 1:16:0
Accel: [0.04, -0.02, 1.02], Gyro: [0.35, -0.21, -0.21], Temp: [23.31, 73.96], 0/0/80 1:16:2
Accel: [0.04, -0.02, 1.02], Gyro: [0.49, -0.14, -0.14], Temp: [23.36, 74.05], 0/0/80 1:16:3
Accel: [0.04, -0.02, 1.02], Gyro: [0.28, 0.14, -0.14], Temp: [23.31, 73.96], 0/0/80 1:16:5
